ID	Nickname	Group
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/MG63_EZ_P15	MG63_WT_1	WT
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/MG63_EZ_P16	MG63_WT_2	WT
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/MG63_EZ_P19	MG63_WT_3	WT
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/MG63_PBMN_P15	MG63_EZHIP_1	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/MG63_PBMN_P16	MG63_EZHIP_2	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/MG63_PBMN_P19	MG63_EZHIP_3	EZHIP
