ID	Nickname	Group
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/KHOS_EZ_P183	KHOS_EZHIP_1	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/KHOS_EZ_P186	KHOS_EZHIP_2	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/KHOS_EZ_P188	KHOS_EZHIP_3	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/KHOS_PBMN_P183	KHOS_WT_1	WT
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/KHOS_PBMN_P186	KHOS_WT_2	WT
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/KHOS_PBMN_P188	KHOS_WT_3	WT
