SIGN0433_OS_T,SIGN0433_BLOOD,SIGN0433_OS_T
TCMG109_OS_RE1,TCMG109_BLOOD,TCMG109_OS_RE1
TCMG109_OS_RE5_MASS,TCMG109_BLOOD,TCMG109_OS_RE5_MASS
TCMG109_OS_RE5_MET,TCMG109_BLOOD,TCMG109_OS_RE5_MET
TCMG240_OS_T,TCMG240_BLOOD,TCMG240_OS_T
TCMG240_OS_T1,TCMG240_BLOOD,TCMG240_OS_T1
TCMG240_OS_T2,TCMG240_BLOOD,TCMG240_OS_T2
TCMG241_OS_T,TCMG241_BLOOD,TCMG241_OS_T
TCQC220_OS_RE1,TCQC220_BLOOD,TCQC220_OS_RE1
TCQC223_OS_RE1,TCQC223_BLOOD,TCQC223_OS_RE1
TCQC225_OS_RE1,TCQC225_BLOOD,TCQC225_OS_RE1
TCQC225_OS_RE2,TCQC225_BLOOD,TCQC225_OS_RE2
TCQC248_OS_RE1,TCQC248_BLOOD,TCQC248_OS_RE1
TCQC252_OS_T,TCQC252_BLOOD,TCQC252_OS_T
SIGN0417_OS_T,SIGN0417_BLOOD,SIGN0417_OS_T
SIQC0499_OS_T,SIQC0499_BLOOD,SIQC0499_OS_T
TCMG171_OS_T,TCMG171_BLOOD,TCMG171_OS_T
TCMG198_OS_T,TCMG198_BLOOD,TCMG198_OS_T
TCMG198_OS_RE2,TCMG198_BLOOD,TCMG198_OS_RE2
TCMG238_OS_RE1,TCMG238_BLOOD,TCMG238_OS_RE1
