ID	Nickname	Group
2022-06-23_hMSC_EZHIP_DOX_Wajih_hg/hMSC-dox1	hMSC_EZHIP_1	EZHIP
2022-06-23_hMSC_EZHIP_DOX_Wajih_hg/hMSC-dox2	hMSC_EZHIP_2	EZHIP
2022-06-23_hMSC_EZHIP_DOX_Wajih_hg/hMSC-dox3	hMSC_EZHIP_3	EZHIP
2022-06-23_hMSC_EZHIP_DOX_Wajih_hg/hMSC-nodox1	hMSC_WT_1	WT
2022-06-23_hMSC_EZHIP_DOX_Wajih_hg/hMSC-nodox2	hMSC_WT_2	WT
2022-06-23_hMSC_EZHIP_DOX_Wajih_hg/hMSC-nodox3	hMSC_WT_3	WT
