ID	Nickname	Group
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/U2OS_C1_P75_A	U2OS_C1_P75_A	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/U2OS_C1_P75_B	U2OS_C1_P75_B	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/U2OS_C1_P75_C	U2OS_C1_P75_C	EZHIP
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/U2OS_C54_P31_A	U2OS_C54_P31_A	EZHIP_KO
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/U2OS_C54_P31_B	U2OS_C54_P31_B	EZHIP_KO
2022-08-23_hMSC_OS-cell-lines_EZHIP_Wajih_hg/U2OS_C54_P31_C	U2OS_C54_P31_C	EZHIP_KO
