Sample	MarkName	Contrast_EZHIP_H3K27me3
U2OS_C1A	H3K27me3	2
U2OS_C1B	H3K27me3	2
U2OS_C1C	H3K27me3	2
U2OS_C54A	H3K27me3	1
U2OS_C54B	H3K27me3	1
U2OS_C54C	H3K27me3	1
